"data_sprawdzenia","nazwa kanalu","url kanalu","liczba subskrybentow","suma wyswietlen filmow, które ukazaly się na kanale w osatnim tygodniu","suma wyswietlen filmow, które ukazaly się na kanale w osatnim miesiacu"
"2022-01-20","skkf","https://www.youtube.com/channel/UC88pjH_KfX7NYhobJp37dlQ","1535146","0","20355"
"2022-01-20","TVN Series","https://www.youtube.com/channel/UCygICIFaB6npPKJd4WHQ5zA","1524930","176801","377329"
"2022-01-20","Red Lipstick Monster","https://www.youtube.com/channel/UCl0PF-MS9QRT1y8px7-NsuA","1494374","297453","945071"
"2022-01-20","Z Dvpy","https://www.youtube.com/channel/UCNhtAn1MT600xiNiX8ErnyQ","1494374","397779","1455426"
"2022-01-20","Remigiusz Maciaszek","https://www.youtube.com/channel/UCodQcUIWz9oYKvhvCZREhTA","1474623","109300","555916"
"2022-01-20","Disco Polo Lajf","https://www.youtube.com/channel/UC0rdUtnXyfzgQQz25wrkbSQ","1465371","90828","2228769"
"2022-01-20","ZeboPL","https://www.youtube.com/channel/UCsmh4UF_PaQRqQcLPXk39Zg","1445564","1044447","2221984"
"2022-01-20","Historia bez cenzury","https://www.youtube.com/channel/UCRWskElXZvb3q0W5JopPTnQ","1434651","737809","2199196"
"2022-01-20","WAKSY","https://www.youtube.com/channel/UCrtZVvEXEYWO1J_nOzL3fiw","1384247","191905","1450434"
"2022-01-20","Miłośnicy czterech kółek -zrób to sam","https://www.youtube.com/channel/UC9SoogoWnlKeUEfvBS4rzrw","1375376","247711","2382629"
"2022-01-20","AdBuster","https://www.youtube.com/channel/UCXoBDsK4B75au2YTC1aLVpg","1355336","0","0"
"2022-01-20","NOLIF","https://www.youtube.com/channel/UCjP-HT_2nl3JjnQZnZ_uYAQ","1344414","0","1470634"
"2022-01-20","Dilerek Minecraft","https://www.youtube.com/channel/UCh0JX8kKXDoV0jDnammmhWw","1324941","75023","181701"
"2022-01-20","Cyber Marian","https://www.youtube.com/channel/UC2g3uS_ac-9xZr-nZTzPwkA","1314872","131710","1751848"
"2022-01-20","Agnieszka Grzelak Beauty","https://www.youtube.com/channel/UCI64jIDZ9WVgNv-CdR_edyw","1305374","0","542138"
"2022-01-20","Jacob","https://www.youtube.com/channel/UCWuKx41wAvbz_NNu1oD6bsQ","1305170","1885853","8811910"
"2022-01-20","Dominik Łupicki","https://www.youtube.com/channel/UClFfjHzeoweiXzjcT7NVqUQ","1294735","50552","128304"
"2022-01-20","TVGRYpl","https://www.youtube.com/channel/UCtGnMWpCcoRZVWxkVKp3Ulg","1290415","1068068","6029350"
"2022-01-20","Martin Stankiewicz","https://www.youtube.com/channel/UCxJ1aZhC_ebAto9_CdxX0oQ","1285739","0","38600"
"2022-01-20","Cypisolo","https://www.youtube.com/channel/UCcmG5FNSGn1RrNAAQLrPsjg","1285739","0","493390"
"2022-01-20","TRENUJ Z KRZYCHEM","https://www.youtube.com/channel/UC4ZQQ7klyUW098VQ2pliSUA","1274626","0","0"
"2022-01-20","REMBOL","https://www.youtube.com/channel/UCejxuQKVl8duHl4FIaUUntQ","1274626","175468","501909"
"2022-01-20","Palion","https://www.youtube.com/channel/UC4MO_OktH6oXB-oCI7yjTkA","1270626","115677","1446022"
"2022-01-20","Medusa Official","https://www.youtube.com/channel/UCP4Xo2CiV9hilARkz8rxIjg","1265376","0","0"
"2022-01-20","Poczciwy Krzychu","https://www.youtube.com/channel/UClW-5AzH7AhPVeOYcn1vwLw","1245607","318150","1732099"
"2022-01-20","DisneyPolskaVEVO","https://www.youtube.com/channel/UC11H-iV1wQ3s6bzb4RO_lkw","1245607","0","0"
"2022-01-20","GilathissNew","https://www.youtube.com/channel/UCcfqGjlTJfydWao-1L9QM3g","1245607","281790","1490748"
"2022-01-20","TOP10Wszystkiego","https://www.youtube.com/channel/UC8IAR2gn8UoYhr25ETiW_mg","1234598","447897","2197559"
"2022-01-20","Doknes","https://www.youtube.com/channel/UCyhCODAyJCop2D2xYvyYAtw","1225159","370013","2220368"
"2022-01-20","True Beauty","https://www.youtube.com/channel/UCWoot1x_j6CgjZv9NY9upRQ","1215098","99632","1230020"
"2022-01-20","Topowa Dycha","https://www.youtube.com/channel/UCCBGVeAveF6xPuoEnOJYLiA","1204653","48887","898205"
"2022-01-20","MURCIX","https://www.youtube.com/channel/UC6vR16NYm5jEPOx1LtAz7QA","1204653","203986","1095251"
"2022-01-20","INTERNAZIOMALE","https://www.youtube.com/channel/UCmUBbTrtvBYjmTNKPZYD2qA","1195563","665853","911326"
"2022-01-20","PatecWariatec","https://www.youtube.com/channel/UCYsZvmJGPzTMSBXES06-2lg","1164169","297176","1007618"
"2022-01-20","Vertez","https://www.youtube.com/channel/UC5G4aFw1PAcdTvqUaxozdJQ","1155766","20078","114610"
"2022-01-20","Lexy Chaplin","https://www.youtube.com/channel/UC-A70F2MeY-79zhvdvldasA","1154569","0","513434"
